imovel,hospede,checkin,checkout,valor,origem
604G,Mensalista,01/11/2025,01/12/2025,"1.800,00",Direto
604G,Mensalista,01/12/2025,01/01/2026,"1.800,00",Direto
704G,Mensalista,01/01/2025,01/02/2025,"2.400,00",Direto
704G,Mensalista,01/02/2025,01/03/2025,"2.400,00",Direto
704G,Mensalista,01/03/2025,01/04/2025,"2.400,00",Direto
704G,Mensalista,01/04/2025,01/05/2025,"2.400,00",Direto
704G,Mensalista,01/05/2025,01/06/2025,"2.400,00",Direto
704G,Mensalista,01/06/2025,01/07/2025,"2.400,00",Direto
704G,Mensalista,01/07/2025,01/08/2025,"2.400,00",Direto
704G,Mensalista,01/08/2025,01/09/2025,"2.400,00",Direto
704G,Mensalista,01/09/2025,01/10/2025,"2.400,00",Direto
704G,Mensalista,01/10/2025,01/11/2025,"2.400,00",Direto
704G,Mensalista,01/11/2025,01/12/2025,"2.400,00",Direto
704G,Mensalista,01/12/2025,01/01/2026,"2.400,00",Direto
801G,Mensalista,01/01/2025,01/02/2025,"2.000,00",Direto
801G,Mensalista,01/02/2025,01/03/2025,"2.000,00",Direto
801G,Mensalista,01/03/2025,01/04/2025,"2.000,00",Direto
801G,Mensalista,01/04/2025,01/05/2025,"2.000,00",Direto
801G,Mensalista,01/05/2025,01/06/2025,"2.000,00",Direto
801G,Mensalista,01/06/2025,01/07/2025,"2.000,00",Direto
801G,Mensalista,01/07/2025,01/08/2025,"2.000,00",Direto
801G,Mensalista,01/08/2025,01/09/2025,"2.000,00",Direto
801G,Mensalista,01/09/2025,01/10/2025,"2.000,00",Direto
801G,Mensalista,01/10/2025,01/11/2025,"2.000,00",Direto
801G,Mensalista,01/11/2025,01/12/2025,"2.000,00",Direto
801G,Mensalista,01/12/2025,01/01/2026,"2.000,00",Direto
404H,Hospede,01/01/2025,06/01/2025,"961,50",Airbnb
404H,Hospede,09/01/2025,15/01/2025,"1.153,80",Booking
404H,Hospede,18/01/2025,25/01/2025,"1.346,10",Direto
404H,Hospede,01/02/2025,06/02/2025,"961,50",Airbnb
404H,Hospede,09/02/2025,15/02/2025,"1.153,80",Booking
404H,Hospede,18/02/2025,25/02/2025,"1.346,10",Direto
404H,Hospede,01/03/2025,06/03/2025,"961,50",Airbnb
404H,Hospede,09/03/2025,15/03/2025,"1.153,80",Booking
404H,Hospede,18/03/2025,25/03/2025,"1.346,10",Direto
404H,Hospede,01/04/2025,06/04/2025,"961,50",Airbnb
404H,Hospede,09/04/2025,15/04/2025,"1.153,80",Booking
404H,Hospede,18/04/2025,25/04/2025,"1.346,10",Direto
404H,Hospede,01/05/2025,06/05/2025,"961,50",Airbnb
404H,Hospede,09/05/2025,15/05/2025,"1.153,80",Booking
404H,Hospede,18/05/2025,25/05/2025,"1.346,10",Direto
404H,Hospede,01/06/2025,06/06/2025,"961,50",Airbnb
404H,Hospede,09/06/2025,15/06/2025,"1.153,80",Booking
404H,Hospede,18/06/2025,25/06/2025,"1.346,10",Direto
404H,Hospede,01/07/2025,06/07/2025,"961,50",Airbnb
404H,Hospede,09/07/2025,15/07/2025,"1.153,80",Booking
404H,Hospede,18/07/2025,25/07/2025,"1.346,10",Direto
404H,Hospede,01/08/2025,06/08/2025,"961,50",Airbnb
404H,Hospede,09/08/2025,15/08/2025,"1.153,80",Booking
404H,Hospede,18/08/2025,25/08/2025,"1.346,10",Direto
404H,Hospede,01/09/2025,06/09/2025,"961,50",Airbnb
404H,Hospede,09/09/2025,15/09/2025,"1.153,80",Booking
404H,Hospede,18/09/2025,25/09/2025,"1.346,10",Direto
404H,Hospede,01/10/2025,06/10/2025,"961,50",Airbnb
404H,Hospede,09/10/2025,15/10/2025,"1.153,80",Booking
404H,Hospede,18/10/2025,25/10/2025,"1.346,10",Direto
404H,Hospede,01/11/2025,06/11/2025,"961,50",Airbnb
404H,Hospede,09/11/2025,15/11/2025,"1.153,80",Booking
404H,Hospede,18/11/2025,25/11/2025,"1.346,10",Direto
404H,Hospede,01/12/2025,06/12/2025,"961,50",Airbnb
404H,Hospede,09/12/2025,15/12/2025,"1.153,80",Booking
404H,Hospede,18/12/2025,25/12/2025,"1.346,10",Direto
406H,Hospede,01/01/2025,06/01/2025,"1.008,65",Airbnb
406H,Hospede,09/01/2025,15/01/2025,"1.210,38",Booking
406H,Hospede,18/01/2025,25/01/2025,"1.412,11",Direto
406H,Hospede,01/02/2025,06/02/2025,"1.008,65",Airbnb
406H,Hospede,09/02/2025,15/02/2025,"1.210,38",Booking
406H,Hospede,18/02/2025,25/02/2025,"1.412,11",Direto
406H,Hospede,01/03/2025,06/03/2025,"1.008,65",Airbnb
406H,Hospede,09/03/2025,15/03/2025,"1.210,38",Booking
406H,Hospede,18/03/2025,25/03/2025,"1.412,11",Direto
406H,Hospede,01/04/2025,06/04/2025,"1.008,65",Airbnb
406H,Hospede,09/04/2025,15/04/2025,"1.210,38",Booking
406H,Hospede,18/04/2025,25/04/2025,"1.412,11",Direto
406H,Hospede,01/05/2025,06/05/2025,"1.008,65",Airbnb
406H,Hospede,09/05/2025,15/05/2025,"1.210,38",Booking
406H,Hospede,18/05/2025,25/05/2025,"1.412,11",Direto
406H,Hospede,01/06/2025,06/06/2025,"1.008,65",Airbnb
406H,Hospede,09/06/2025,15/06/2025,"1.210,38",Booking
406H,Hospede,18/06/2025,25/06/2025,"1.412,11",Direto
406H,Hospede,01/07/2025,06/07/2025,"1.008,65",Airbnb
406H,Hospede,09/07/2025,15/07/2025,"1.210,38",Booking
406H,Hospede,18/07/2025,25/07/2025,"1.412,11",Direto
406H,Hospede,01/08/2025,06/08/2025,"1.008,65",Airbnb
406H,Hospede,09/08/2025,15/08/2025,"1.210,38",Booking
406H,Hospede,18/08/2025,25/08/2025,"1.412,11",Direto
406H,Hospede,01/09/2025,06/09/2025,"1.008,65",Airbnb
406H,Hospede,09/09/2025,15/09/2025,"1.210,38",Booking
406H,Hospede,18/09/2025,25/09/2025,"1.412,11",Direto
406H,Hospede,01/10/2025,06/10/2025,"1.008,65",Airbnb
406H,Hospede,09/10/2025,15/10/2025,"1.210,38",Booking
406H,Hospede,18/10/2025,25/10/2025,"1.412,11",Direto
406H,Hospede,01/11/2025,06/11/2025,"1.008,65",Airbnb
406H,Hospede,09/11/2025,15/11/2025,"1.210,38",Booking
406H,Hospede,18/11/2025,25/11/2025,"1.412,11",Direto
406H,Hospede,01/12/2025,06/12/2025,"1.008,65",Airbnb
406H,Hospede,09/12/2025,15/12/2025,"1.210,38",Booking
406H,Hospede,18/12/2025,25/12/2025,"1.412,11",Direto
304G,Hospede,01/01/2025,08/01/2025,"1.252,51",Airbnb
304G,Hospede,10/01/2025,18/01/2025,"1.431,44",Booking
304G,Hospede,20/01/2025,28/01/2025,"1.431,44",Direto
304G,Hospede,01/02/2025,08/02/2025,"1.252,51",Airbnb
304G,Hospede,10/02/2025,18/02/2025,"1.431,44",Booking
304G,Hospede,20/02/2025,28/02/2025,"1.431,44",Direto
304G,Hospede,01/03/2025,08/03/2025,"1.252,51",Airbnb
304G,Hospede,10/03/2025,18/03/2025,"1.431,44",Booking
304G,Hospede,20/03/2025,28/03/2025,"1.431,44",Direto
304G,Hospede,01/04/2025,08/04/2025,"1.252,51",Airbnb
304G,Hospede,10/04/2025,18/04/2025,"1.431,44",Booking
304G,Hospede,20/04/2025,28/04/2025,"1.431,44",Direto
304G,Hospede,01/05/2025,08/05/2025,"1.252,51",Airbnb
304G,Hospede,10/05/2025,18/05/2025,"1.431,44",Booking
304G,Hospede,20/05/2025,28/05/2025,"1.431,44",Direto
304G,Hospede,01/06/2025,08/06/2025,"1.252,51",Airbnb
304G,Hospede,10/06/2025,18/06/2025,"1.431,44",Booking
304G,Hospede,20/06/2025,28/06/2025,"1.431,44",Direto
304G,Hospede,01/07/2025,08/07/2025,"1.252,51",Airbnb
304G,Hospede,10/07/2025,18/07/2025,"1.431,44",Booking
304G,Hospede,20/07/2025,28/07/2025,"1.431,44",Direto
304G,Hospede,01/08/2025,08/08/2025,"1.252,51",Airbnb
304G,Hospede,10/08/2025,18/08/2025,"1.431,44",Booking
304G,Hospede,20/08/2025,28/08/2025,"1.431,44",Direto
304G,Hospede,01/09/2025,08/09/2025,"1.252,51",Airbnb
304G,Hospede,10/09/2025,18/09/2025,"1.431,44",Booking
304G,Hospede,20/09/2025,28/09/2025,"1.431,44",Direto
304G,Hospede,01/10/2025,08/10/2025,"1.252,51",Airbnb
304G,Hospede,10/10/2025,18/10/2025,"1.431,44",Booking
304G,Hospede,20/10/2025,28/10/2025,"1.431,44",Direto
304G,Hospede,01/11/2025,08/11/2025,"1.252,51",Airbnb
304G,Hospede,10/11/2025,18/11/2025,"1.431,44",Booking
304G,Hospede,20/11/2025,28/11/2025,"1.431,44",Direto
304G,Hospede,01/12/2025,08/12/2025,"1.252,51",Airbnb
304G,Hospede,10/12/2025,18/12/2025,"1.431,44",Booking
304G,Hospede,20/12/2025,28/12/2025,"1.431,44",Direto
401G,Hospede,01/01/2025,08/01/2025,"1.269,59",Airbnb
401G,Hospede,10/01/2025,18/01/2025,"1.450,96",Booking
401G,Hospede,20/01/2025,28/01/2025,"1.450,96",Direto
401G,Hospede,01/02/2025,08/02/2025,"1.269,59",Airbnb
401G,Hospede,10/02/2025,18/02/2025,"1.450,96",Booking
401G,Hospede,20/02/2025,28/02/2025,"1.450,96",Direto
401G,Hospede,01/03/2025,08/03/2025,"1.269,59",Airbnb
401G,Hospede,10/03/2025,18/03/2025,"1.450,96",Booking
401G,Hospede,20/03/2025,28/03/2025,"1.450,96",Direto
401G,Hospede,01/04/2025,08/04/2025,"1.269,59",Airbnb
401G,Hospede,10/04/2025,18/04/2025,"1.450,96",Booking
401G,Hospede,20/04/2025,28/04/2025,"1.450,96",Direto
401G,Hospede,01/05/2025,08/05/2025,"1.269,59",Airbnb
401G,Hospede,10/05/2025,18/05/2025,"1.450,96",Booking
401G,Hospede,20/05/2025,28/05/2025,"1.450,96",Direto
401G,Hospede,01/06/2025,08/06/2025,"1.269,59",Airbnb
401G,Hospede,10/06/2025,18/06/2025,"1.450,96",Booking
401G,Hospede,20/06/2025,28/06/2025,"1.450,96",Direto
401G,Hospede,01/07/2025,08/07/2025,"1.269,59",Airbnb
401G,Hospede,10/07/2025,18/07/2025,"1.450,96",Booking
401G,Hospede,20/07/2025,28/07/2025,"1.450,96",Direto
401G,Hospede,01/08/2025,08/08/2025,"1.269,59",Airbnb
401G,Hospede,10/08/2025,18/08/2025,"1.450,96",Booking
401G,Hospede,20/08/2025,28/08/2025,"1.450,96",Direto
401G,Hospede,01/09/2025,08/09/2025,"1.269,59",Airbnb
401G,Hospede,10/09/2025,18/09/2025,"1.450,96",Booking
401G,Hospede,20/09/2025,28/09/2025,"1.450,96",Direto
401G,Hospede,01/10/2025,08/10/2025,"1.269,59",Airbnb
401G,Hospede,10/10/2025,18/10/2025,"1.450,96",Booking
401G,Hospede,20/10/2025,28/10/2025,"1.450,96",Direto
401G,Hospede,01/11/2025,08/11/2025,"1.269,59",Airbnb
401G,Hospede,10/11/2025,18/11/2025,"1.450,96",Booking
401G,Hospede,20/11/2025,28/11/2025,"1.450,96",Direto
401G,Hospede,01/12/2025,08/12/2025,"1.269,59",Airbnb
401G,Hospede,10/12/2025,18/12/2025,"1.450,96",Booking
401G,Hospede,20/12/2025,28/12/2025,"1.450,96",Direto
405G,Hospede,01/01/2025,08/01/2025,"1.224,16",Airbnb
405G,Hospede,10/01/2025,17/01/2025,"1.224,16",Booking
405G,Hospede,19/01/2025,27/01/2025,"1.399,04",Direto
405G,Hospede,01/02/2025,08/02/2025,"1.224,16",Airbnb
405G,Hospede,10/02/2025,17/02/2025,"1.224,16",Booking
405G,Hospede,19/02/2025,27/02/2025,"1.399,04",Direto
405G,Hospede,01/03/2025,08/03/2025,"1.224,16",Airbnb
405G,Hospede,10/03/2025,17/03/2025,"1.224,16",Booking
405G,Hospede,19/03/2025,27/03/2025,"1.399,04",Direto
405G,Hospede,01/04/2025,08/04/2025,"1.224,16",Airbnb
405G,Hospede,10/04/2025,17/04/2025,"1.224,16",Booking
405G,Hospede,19/04/2025,27/04/2025,"1.399,04",Direto
405G,Hospede,01/05/2025,08/05/2025,"1.224,16",Airbnb
405G,Hospede,10/05/2025,17/05/2025,"1.224,16",Booking
405G,Hospede,19/05/2025,27/05/2025,"1.399,04",Direto
405G,Hospede,01/06/2025,08/06/2025,"1.224,16",Airbnb
405G,Hospede,10/06/2025,17/06/2025,"1.224,16",Booking
405G,Hospede,19/06/2025,27/06/2025,"1.399,04",Direto
405G,Hospede,01/07/2025,08/07/2025,"1.224,16",Airbnb
405G,Hospede,10/07/2025,17/07/2025,"1.224,16",Booking
405G,Hospede,19/07/2025,27/07/2025,"1.399,04",Direto
405G,Hospede,01/08/2025,08/08/2025,"1.224,16",Airbnb
405G,Hospede,10/08/2025,17/08/2025,"1.224,16",Booking
405G,Hospede,19/08/2025,27/08/2025,"1.399,04",Direto
405G,Hospede,01/09/2025,08/09/2025,"1.224,16",Airbnb
405G,Hospede,10/09/2025,17/09/2025,"1.224,16",Booking
405G,Hospede,19/09/2025,27/09/2025,"1.399,04",Direto
405G,Hospede,01/10/2025,08/10/2025,"1.224,16",Airbnb
405G,Hospede,10/10/2025,17/10/2025,"1.224,16",Booking
405G,Hospede,19/10/2025,27/10/2025,"1.399,04",Direto
405G,Hospede,01/11/2025,08/11/2025,"1.224,16",Airbnb
405G,Hospede,10/11/2025,17/11/2025,"1.224,16",Booking
405G,Hospede,19/11/2025,27/11/2025,"1.399,04",Direto
405G,Hospede,01/12/2025,08/12/2025,"1.224,16",Airbnb
405G,Hospede,10/12/2025,17/12/2025,"1.224,16",Booking
405G,Hospede,19/12/2025,27/12/2025,"1.399,04",Direto
406G,Hospede,01/01/2025,09/01/2025,"1.507,28",Airbnb
406G,Hospede,11/01/2025,19/01/2025,"1.507,28",Booking
406G,Hospede,21/01/2025,29/01/2025,"1.507,28",Direto
406G,Hospede,01/02/2025,09/02/2025,"1.507,28",Airbnb
406G,Hospede,11/02/2025,19/02/2025,"1.507,28",Booking
406G,Hospede,21/02/2025,28/02/2025,"1.318,87",Direto
406G,Hospede,01/03/2025,09/03/2025,"1.507,28",Airbnb
406G,Hospede,11/03/2025,19/03/2025,"1.507,28",Booking
406G,Hospede,21/03/2025,29/03/2025,"1.507,28",Direto
406G,Hospede,01/04/2025,09/04/2025,"1.507,28",Airbnb
406G,Hospede,11/04/2025,19/04/2025,"1.507,28",Booking
406G,Hospede,21/04/2025,29/04/2025,"1.507,28",Direto
406G,Hospede,01/05/2025,09/05/2025,"1.507,28",Airbnb
406G,Hospede,11/05/2025,19/05/2025,"1.507,28",Booking
406G,Hospede,21/05/2025,29/05/2025,"1.507,28",Direto
406G,Hospede,01/06/2025,09/06/2025,"1.507,28",Airbnb
406G,Hospede,11/06/2025,19/06/2025,"1.507,28",Booking
406G,Hospede,21/06/2025,29/06/2025,"1.507,28",Direto
406G,Hospede,01/07/2025,09/07/2025,"1.507,28",Airbnb
406G,Hospede,11/07/2025,19/07/2025,"1.507,28",Booking
406G,Hospede,21/07/2025,29/07/2025,"1.507,28",Direto
406G,Hospede,01/08/2025,09/08/2025,"1.507,28",Airbnb
406G,Hospede,11/08/2025,19/08/2025,"1.507,28",Booking
406G,Hospede,21/08/2025,29/08/2025,"1.507,28",Direto
406G,Hospede,01/09/2025,09/09/2025,"1.507,28",Airbnb
406G,Hospede,11/09/2025,19/09/2025,"1.507,28",Booking
406G,Hospede,21/09/2025,29/09/2025,"1.507,28",Direto
406G,Hospede,01/10/2025,09/10/2025,"1.507,28",Airbnb
406G,Hospede,11/10/2025,19/10/2025,"1.507,28",Booking
406G,Hospede,21/10/2025,29/10/2025,"1.507,28",Direto
406G,Hospede,01/11/2025,09/11/2025,"1.507,28",Airbnb
406G,Hospede,11/11/2025,19/11/2025,"1.507,28",Booking
406G,Hospede,21/11/2025,29/11/2025,"1.507,28",Direto
406G,Hospede,01/12/2025,09/12/2025,"1.507,28",Airbnb
406G,Hospede,11/12/2025,19/12/2025,"1.507,28",Booking
406G,Hospede,21/12/2025,29/12/2025,"1.507,28",Direto
501G,Hospede,01/01/2025,08/01/2025,"1.235,71",Airbnb
501G,Hospede,10/01/2025,17/01/2025,"1.235,71",Booking
501G,Hospede,19/01/2025,27/01/2025,"1.412,24",Direto
501G,Hospede,01/02/2025,08/02/2025,"1.235,71",Airbnb
501G,Hospede,10/02/2025,17/02/2025,"1.235,71",Booking
501G,Hospede,19/02/2025,27/02/2025,"1.412,24",Direto
501G,Hospede,01/03/2025,08/03/2025,"1.235,71",Airbnb
501G,Hospede,10/03/2025,17/03/2025,"1.235,71",Booking
501G,Hospede,19/03/2025,27/03/2025,"1.412,24",Direto
501G,Hospede,01/04/2025,08/04/2025,"1.235,71",Airbnb
501G,Hospede,10/04/2025,17/04/2025,"1.235,71",Booking
501G,Hospede,19/04/2025,27/04/2025,"1.412,24",Direto
501G,Hospede,01/05/2025,08/05/2025,"1.235,71",Airbnb
501G,Hospede,10/05/2025,17/05/2025,"1.235,71",Booking
501G,Hospede,19/05/2025,27/05/2025,"1.412,24",Direto
501G,Hospede,01/06/2025,08/06/2025,"1.235,71",Airbnb
501G,Hospede,10/06/2025,17/06/2025,"1.235,71",Booking
501G,Hospede,19/06/2025,27/06/2025,"1.412,24",Direto
501G,Hospede,01/07/2025,08/07/2025,"1.235,71",Airbnb
501G,Hospede,10/07/2025,17/07/2025,"1.235,71",Booking
501G,Hospede,19/07/2025,27/07/2025,"1.412,24",Direto
501G,Hospede,01/08/2025,08/08/2025,"1.235,71",Airbnb
501G,Hospede,10/08/2025,17/08/2025,"1.235,71",Booking
501G,Hospede,19/08/2025,27/08/2025,"1.412,24",Direto
501G,Hospede,01/09/2025,08/09/2025,"1.235,71",Airbnb
501G,Hospede,10/09/2025,17/09/2025,"1.235,71",Booking
501G,Hospede,19/09/2025,27/09/2025,"1.412,24",Direto
501G,Hospede,01/10/2025,08/10/2025,"1.235,71",Airbnb
501G,Hospede,10/10/2025,17/10/2025,"1.235,71",Booking
501G,Hospede,19/10/2025,27/10/2025,"1.412,24",Direto
501G,Hospede,01/11/2025,08/11/2025,"1.235,71",Airbnb
501G,Hospede,10/11/2025,17/11/2025,"1.235,71",Booking
501G,Hospede,19/11/2025,27/11/2025,"1.412,24",Direto
501G,Hospede,01/12/2025,08/12/2025,"1.235,71",Airbnb
501G,Hospede,10/12/2025,17/12/2025,"1.235,71",Booking
501G,Hospede,19/12/2025,27/12/2025,"1.412,24",Direto
504G,Hospede,01/01/2025,06/01/2025,"856,80",Airbnb
504G,Hospede,09/01/2025,15/01/2025,"1.028,16",Booking
504G,Hospede,18/01/2025,26/01/2025,"1.370,88",Direto
504G,Hospede,01/02/2025,06/02/2025,"856,80",Airbnb
504G,Hospede,09/02/2025,15/02/2025,"1.028,16",Booking
504G,Hospede,18/02/2025,26/02/2025,"1.370,88",Direto
504G,Hospede,01/03/2025,06/03/2025,"856,80",Airbnb
504G,Hospede,09/03/2025,15/03/2025,"1.028,16",Booking
504G,Hospede,18/03/2025,26/03/2025,"1.370,88",Direto
504G,Hospede,01/04/2025,06/04/2025,"856,80",Airbnb
504G,Hospede,09/04/2025,15/04/2025,"1.028,16",Booking
504G,Hospede,18/04/2025,26/04/2025,"1.370,88",Direto
504G,Hospede,01/05/2025,06/05/2025,"856,80",Airbnb
504G,Hospede,09/05/2025,15/05/2025,"1.028,16",Booking
504G,Hospede,18/05/2025,26/05/2025,"1.370,88",Direto
504G,Hospede,01/06/2025,06/06/2025,"856,80",Airbnb
504G,Hospede,09/06/2025,15/06/2025,"1.028,16",Booking
504G,Hospede,18/06/2025,26/06/2025,"1.370,88",Direto
504G,Hospede,01/07/2025,06/07/2025,"856,80",Airbnb
504G,Hospede,09/07/2025,15/07/2025,"1.028,16",Booking
504G,Hospede,18/07/2025,26/07/2025,"1.370,88",Direto
504G,Hospede,01/08/2025,06/08/2025,"856,80",Airbnb
504G,Hospede,09/08/2025,15/08/2025,"1.028,16",Booking
504G,Hospede,18/08/2025,26/08/2025,"1.370,88",Direto
504G,Hospede,01/09/2025,06/09/2025,"856,80",Airbnb
504G,Hospede,09/09/2025,15/09/2025,"1.028,16",Booking
504G,Hospede,18/09/2025,26/09/2025,"1.370,88",Direto
504G,Hospede,01/10/2025,06/10/2025,"856,80",Airbnb
504G,Hospede,09/10/2025,15/10/2025,"1.028,16",Booking
504G,Hospede,18/10/2025,26/10/2025,"1.370,88",Direto
504G,Hospede,01/11/2025,06/11/2025,"856,80",Airbnb
504G,Hospede,09/11/2025,15/11/2025,"1.028,16",Booking
504G,Hospede,18/11/2025,26/11/2025,"1.370,88",Direto
504G,Hospede,01/12/2025,06/12/2025,"856,80",Airbnb
504G,Hospede,09/12/2025,15/12/2025,"1.028,16",Booking
504G,Hospede,18/12/2025,26/12/2025,"1.370,88",Direto
505G,Hospede,01/01/2025,08/01/2025,"1.202,88",Airbnb
505G,Hospede,10/01/2025,17/01/2025,"1.202,88",Booking
505G,Hospede,19/01/2025,27/01/2025,"1.374,72",Direto
505G,Hospede,01/02/2025,08/02/2025,"1.202,88",Airbnb
505G,Hospede,10/02/2025,17/02/2025,"1.202,88",Booking
505G,Hospede,19/02/2025,27/02/2025,"1.374,72",Direto
505G,Hospede,01/03/2025,08/03/2025,"1.202,88",Airbnb
505G,Hospede,10/03/2025,17/03/2025,"1.202,88",Booking
505G,Hospede,19/03/2025,27/03/2025,"1.374,72",Direto
505G,Hospede,01/04/2025,08/04/2025,"1.202,88",Airbnb
505G,Hospede,10/04/2025,17/04/2025,"1.202,88",Booking
505G,Hospede,19/04/2025,27/04/2025,"1.374,72",Direto
505G,Hospede,01/05/2025,08/05/2025,"1.202,88",Airbnb
505G,Hospede,10/05/2025,17/05/2025,"1.202,88",Booking
505G,Hospede,19/05/2025,27/05/2025,"1.374,72",Direto
505G,Hospede,01/06/2025,08/06/2025,"1.202,88",Airbnb
505G,Hospede,10/06/2025,17/06/2025,"1.202,88",Booking
505G,Hospede,19/06/2025,27/06/2025,"1.374,72",Direto
505G,Hospede,01/07/2025,08/07/2025,"1.202,88",Airbnb
505G,Hospede,10/07/2025,17/07/2025,"1.202,88",Booking
505G,Hospede,19/07/2025,27/07/2025,"1.374,72",Direto
505G,Hospede,01/08/2025,08/08/2025,"1.202,88",Airbnb
505G,Hospede,10/08/2025,17/08/2025,"1.202,88",Booking
505G,Hospede,19/08/2025,27/08/2025,"1.374,72",Direto
505G,Hospede,01/09/2025,08/09/2025,"1.202,88",Airbnb
505G,Hospede,10/09/2025,17/09/2025,"1.202,88",Booking
505G,Hospede,19/09/2025,27/09/2025,"1.374,72",Direto
505G,Hospede,01/10/2025,08/10/2025,"1.202,88",Airbnb
505G,Hospede,10/10/2025,17/10/2025,"1.202,88",Booking
505G,Hospede,19/10/2025,27/10/2025,"1.374,72",Direto
505G,Hospede,01/11/2025,08/11/2025,"1.202,88",Airbnb
505G,Hospede,10/11/2025,17/11/2025,"1.202,88",Booking
505G,Hospede,19/11/2025,27/11/2025,"1.374,72",Direto
505G,Hospede,01/12/2025,08/12/2025,"1.202,88",Airbnb
505G,Hospede,10/12/2025,17/12/2025,"1.202,88",Booking
505G,Hospede,19/12/2025,27/12/2025,"1.374,72",Direto
506G,Hospede,01/01/2025,08/01/2025,"1.279,18",Airbnb
506G,Hospede,10/01/2025,18/01/2025,"1.461,92",Booking
506G,Hospede,20/01/2025,28/01/2025,"1.461,92",Direto
506G,Hospede,01/02/2025,08/02/2025,"1.279,18",Airbnb
506G,Hospede,10/02/2025,18/02/2025,"1.461,92",Booking
506G,Hospede,20/02/2025,28/02/2025,"1.461,92",Direto
506G,Hospede,01/03/2025,08/03/2025,"1.279,18",Airbnb
