imovel,hospede,checkin,checkout,valor,origem
401G,Hospede,10/04/2026,18/04/2026,"1.494,49",Booking
401G,Hospede,20/04/2026,28/04/2026,"1.494,49",Direto
401G,Hospede,01/05/2026,08/05/2026,"1.307,68",Airbnb
401G,Hospede,10/05/2026,18/05/2026,"1.494,49",Booking
401G,Hospede,20/05/2026,28/05/2026,"1.494,49",Direto
405G,Hospede,01/01/2026,08/01/2026,"1.260,88",Airbnb
405G,Hospede,10/01/2026,17/01/2026,"1.260,88",Booking
405G,Hospede,19/01/2026,27/01/2026,"1.441,01",Direto
405G,Hospede,01/02/2026,08/02/2026,"1.260,88",Airbnb
405G,Hospede,10/02/2026,17/02/2026,"1.260,88",Booking
405G,Hospede,19/02/2026,27/02/2026,"1.441,01",Direto
405G,Hospede,01/03/2026,08/03/2026,"1.260,88",Airbnb
405G,Hospede,10/03/2026,17/03/2026,"1.260,88",Booking
405G,Hospede,19/03/2026,27/03/2026,"1.441,01",Direto
405G,Hospede,01/04/2026,08/04/2026,"1.260,88",Airbnb
405G,Hospede,10/04/2026,17/04/2026,"1.260,88",Booking
405G,Hospede,19/04/2026,27/04/2026,"1.441,01",Direto
405G,Hospede,01/05/2026,08/05/2026,"1.260,88",Airbnb
405G,Hospede,10/05/2026,17/05/2026,"1.260,88",Booking
405G,Hospede,19/05/2026,27/05/2026,"1.441,01",Direto
406G,Hospede,01/01/2026,09/01/2026,"1.552,50",Airbnb
406G,Hospede,11/01/2026,19/01/2026,"1.552,50",Booking
406G,Hospede,21/01/2026,29/01/2026,"1.552,50",Direto
406G,Hospede,01/02/2026,09/02/2026,"1.552,50",Airbnb
406G,Hospede,11/02/2026,19/02/2026,"1.552,50",Booking
406G,Hospede,21/02/2026,28/02/2026,"1.358,44",Direto
406G,Hospede,01/03/2026,09/03/2026,"1.552,50",Airbnb
406G,Hospede,11/03/2026,19/03/2026,"1.552,50",Booking
406G,Hospede,21/03/2026,29/03/2026,"1.552,50",Direto
406G,Hospede,01/04/2026,09/04/2026,"1.552,50",Airbnb
406G,Hospede,11/04/2026,19/04/2026,"1.552,50",Booking
406G,Hospede,21/04/2026,29/04/2026,"1.552,50",Direto
406G,Hospede,01/05/2026,09/05/2026,"1.552,50",Airbnb
406G,Hospede,11/05/2026,19/05/2026,"1.552,50",Booking
406G,Hospede,21/05/2026,29/05/2026,"1.552,50",Direto
501G,Hospede,01/01/2026,08/01/2026,"1.272,78",Airbnb
501G,Hospede,10/01/2026,17/01/2026,"1.272,78",Booking
501G,Hospede,19/01/2026,27/01/2026,"1.454,61",Direto
501G,Hospede,01/02/2026,08/02/2026,"1.272,78",Airbnb
501G,Hospede,10/02/2026,17/02/2026,"1.272,78",Booking
501G,Hospede,19/02/2026,27/02/2026,"1.454,61",Direto
501G,Hospede,01/03/2026,08/03/2026,"1.272,78",Airbnb
501G,Hospede,10/03/2026,17/03/2026,"1.272,78",Booking
501G,Hospede,19/03/2026,27/03/2026,"1.454,61",Direto
501G,Hospede,01/04/2026,08/04/2026,"1.272,78",Airbnb
501G,Hospede,10/04/2026,17/04/2026,"1.272,78",Booking
501G,Hospede,19/04/2026,27/04/2026,"1.454,61",Direto
501G,Hospede,01/05/2026,08/05/2026,"1.272,78",Airbnb
501G,Hospede,10/05/2026,17/05/2026,"1.272,78",Booking
501G,Hospede,19/05/2026,27/05/2026,"1.454,61",Direto
504G,Hospede,01/01/2026,06/01/2026,"882,50",Airbnb
504G,Hospede,09/01/2026,15/01/2026,"1.059,00",Booking
504G,Hospede,18/01/2026,26/01/2026,"1.412,01",Direto
504G,Hospede,01/02/2026,06/02/2026,"882,50",Airbnb
504G,Hospede,09/02/2026,15/02/2026,"1.059,00",Booking
504G,Hospede,18/02/2026,26/02/2026,"1.412,01",Direto
504G,Hospede,01/03/2026,06/03/2026,"882,50",Airbnb
504G,Hospede,09/03/2026,15/03/2026,"1.059,00",Booking
504G,Hospede,18/03/2026,26/03/2026,"1.412,01",Direto
504G,Hospede,01/04/2026,06/04/2026,"882,50",Airbnb
504G,Hospede,09/04/2026,15/04/2026,"1.059,00",Booking
504G,Hospede,18/04/2026,26/04/2026,"1.412,01",Direto
504G,Hospede,01/05/2026,06/05/2026,"882,50",Airbnb
504G,Hospede,09/05/2026,15/05/2026,"1.059,00",Booking
504G,Hospede,18/05/2026,26/05/2026,"1.412,01",Direto
505G,Hospede,01/01/2026,08/01/2026,"1.238,97",Airbnb
505G,Hospede,10/01/2026,17/01/2026,"1.238,97",Booking
505G,Hospede,19/01/2026,27/01/2026,"1.415,96",Direto
505G,Hospede,01/02/2026,08/02/2026,"1.238,97",Airbnb
505G,Hospede,10/02/2026,17/02/2026,"1.238,97",Booking
505G,Hospede,19/02/2026,27/02/2026,"1.415,96",Direto
505G,Hospede,01/03/2026,08/03/2026,"1.238,97",Airbnb
505G,Hospede,10/03/2026,17/03/2026,"1.238,97",Booking
505G,Hospede,19/03/2026,27/03/2026,"1.415,96",Direto
505G,Hospede,01/04/2026,08/04/2026,"1.238,97",Airbnb
505G,Hospede,10/04/2026,17/04/2026,"1.238,97",Booking
505G,Hospede,19/04/2026,27/04/2026,"1.415,96",Direto
505G,Hospede,01/05/2026,08/05/2026,"1.238,97",Airbnb
505G,Hospede,10/05/2026,17/05/2026,"1.238,97",Booking
505G,Hospede,19/05/2026,27/05/2026,"1.415,96",Direto
506G,Hospede,01/01/2026,08/01/2026,"1.317,56",Airbnb
506G,Hospede,10/01/2026,18/01/2026,"1.505,78",Booking
506G,Hospede,20/01/2026,28/01/2026,"1.505,78",Direto
506G,Hospede,01/02/2026,08/02/2026,"1.317,56",Airbnb
506G,Hospede,10/02/2026,18/02/2026,"1.505,78",Booking
506G,Hospede,20/02/2026,28/02/2026,"1.505,78",Direto
506G,Hospede,01/03/2026,08/03/2026,"1.317,56",Airbnb
506G,Hospede,10/03/2026,18/03/2026,"1.505,78",Booking
506G,Hospede,20/03/2026,28/03/2026,"1.505,78",Direto
506G,Hospede,01/04/2026,08/04/2026,"1.317,56",Airbnb
506G,Hospede,10/04/2026,18/04/2026,"1.505,78",Booking
506G,Hospede,20/04/2026,28/04/2026,"1.505,78",Direto
506G,Hospede,01/05/2026,08/05/2026,"1.317,56",Airbnb
506G,Hospede,10/05/2026,18/05/2026,"1.505,78",Booking
506G,Hospede,20/05/2026,28/05/2026,"1.505,78",Direto
601G,Hospede,01/01/2026,06/01/2026,"879,72",Airbnb
601G,Hospede,09/01/2026,15/01/2026,"1.055,67",Booking
601G,Hospede,18/01/2026,26/01/2026,"1.407,56",Direto
601G,Hospede,01/02/2026,06/02/2026,"879,72",Airbnb
601G,Hospede,09/02/2026,15/02/2026,"1.055,67",Booking
601G,Hospede,18/02/2026,26/02/2026,"1.407,56",Direto
601G,Hospede,01/03/2026,06/03/2026,"879,72",Airbnb
601G,Hospede,09/03/2026,15/03/2026,"1.055,67",Booking
601G,Hospede,18/03/2026,26/03/2026,"1.407,56",Direto
601G,Hospede,01/04/2026,06/04/2026,"879,72",Airbnb
601G,Hospede,09/04/2026,15/04/2026,"1.055,67",Booking
601G,Hospede,18/04/2026,26/04/2026,"1.407,56",Direto
601G,Hospede,01/05/2026,06/05/2026,"879,72",Airbnb
601G,Hospede,09/05/2026,15/05/2026,"1.055,67",Booking
601G,Hospede,18/05/2026,26/05/2026,"1.407,56",Direto
701G,Hospede,01/01/2026,08/01/2026,"1.279,49",Airbnb
701G,Hospede,10/01/2026,18/01/2026,"1.462,27",Booking
701G,Hospede,20/01/2026,28/01/2026,"1.462,27",Direto
701G,Hospede,01/02/2026,08/02/2026,"1.279,49",Airbnb
701G,Hospede,10/02/2026,18/02/2026,"1.462,27",Booking
701G,Hospede,20/02/2026,28/02/2026,"1.462,27",Direto
701G,Hospede,01/03/2026,08/03/2026,"1.279,49",Airbnb
701G,Hospede,10/03/2026,18/03/2026,"1.462,27",Booking
701G,Hospede,20/03/2026,28/03/2026,"1.462,27",Direto
701G,Hospede,01/04/2026,08/04/2026,"1.279,49",Airbnb
701G,Hospede,10/04/2026,18/04/2026,"1.462,27",Booking
701G,Hospede,20/04/2026,28/04/2026,"1.462,27",Direto
701G,Hospede,01/05/2026,08/05/2026,"1.279,49",Airbnb
701G,Hospede,10/05/2026,18/05/2026,"1.462,27",Booking
701G,Hospede,20/05/2026,28/05/2026,"1.462,27",Direto
703G,Hospede,01/01/2026,08/01/2026,"1.323,61",Airbnb
703G,Hospede,10/01/2026,18/01/2026,"1.512,70",Booking
703G,Hospede,20/01/2026,28/01/2026,"1.512,70",Direto
703G,Hospede,01/02/2026,08/02/2026,"1.323,61",Airbnb
703G,Hospede,10/02/2026,18/02/2026,"1.512,70",Booking
703G,Hospede,20/02/2026,28/02/2026,"1.512,70",Direto
703G,Hospede,01/03/2026,08/03/2026,"1.323,61",Airbnb
703G,Hospede,10/03/2026,18/03/2026,"1.512,70",Booking
703G,Hospede,20/03/2026,28/03/2026,"1.512,70",Direto
703G,Hospede,01/04/2026,08/04/2026,"1.323,61",Airbnb
703G,Hospede,10/04/2026,18/04/2026,"1.512,70",Booking
703G,Hospede,20/04/2026,28/04/2026,"1.512,70",Direto
703G,Hospede,01/05/2026,08/05/2026,"1.323,61",Airbnb
703G,Hospede,10/05/2026,18/05/2026,"1.512,70",Booking
703G,Hospede,20/05/2026,28/05/2026,"1.512,70",Direto
806G,Hospede,01/01/2026,08/01/2026,"1.266,22",Airbnb
806G,Hospede,10/01/2026,18/01/2026,"1.447,11",Booking
806G,Hospede,20/01/2026,28/01/2026,"1.447,11",Direto
806G,Hospede,01/02/2026,08/02/2026,"1.266,22",Airbnb
806G,Hospede,10/02/2026,18/02/2026,"1.447,11",Booking
806G,Hospede,20/02/2026,28/02/2026,"1.447,11",Direto
806G,Hospede,01/03/2026,08/03/2026,"1.266,22",Airbnb
806G,Hospede,10/03/2026,18/03/2026,"1.447,11",Booking
806G,Hospede,20/03/2026,28/03/2026,"1.447,11",Direto
806G,Hospede,01/04/2026,08/04/2026,"1.266,22",Airbnb
806G,Hospede,10/04/2026,18/04/2026,"1.447,11",Booking
806G,Hospede,20/04/2026,28/04/2026,"1.447,11",Direto
806G,Hospede,01/05/2026,08/05/2026,"1.266,22",Airbnb
806G,Hospede,10/05/2026,18/05/2026,"1.447,11",Booking
806G,Hospede,20/05/2026,28/05/2026,"1.447,11",Direto
